Navio Ship,Cheg/Arrival d/m/y,Operaç Operat,Mercadoria Goods,Peso Weight
SAN ANTONIO MAERSK,07/10/2025 20:01:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
MSC DOMITILLE,08/10/2025 01:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 12600
MSC EDNA,08/10/2025 06:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 27000
MERCOSUL SANTOS,08/10/2025 12:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 4500
MAERSK VENEZIA,08/10/2025 15:37:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
LOG-IN PANTANAL (REB),08/10/2025 17:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200 7200
MSC AMALFI,08/10/2025 17:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,18000 1800
IRENES WISDOM,09/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,4536 360
MAERSK GANGES (REB),09/10/2025 02:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
CARDIFF,09/10/2025 12:00:00,EMB,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600
COSCO SHIPPING BRAZIL,10/10/2025 07:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,9000 3600
CMA CGM FORT ST LOUIS,10/10/2025 12:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 4500
SEBASTIÃO CABOTO,10/10/2025 14:00:00,EMB,CONTEINERES CHEIOS CONTEINERES CHEIOS,3600
NAVIOS DOMINO,10/10/2025 15:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,15300 1530
EVER FIT,10/10/2025 19:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,180 19800
MSC INSA,11/10/2025 03:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,18000 1800
MSC ELLEN,11/10/2025 06:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,27000 1800
RDO ENDEAVOUR,11/10/2025 19:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1530 15300
HYUNDAI FAITH,12/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
PARANAGUA EXPRESS,12/10/2025 10:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,21852 180
BROOKLYN BRIDGE,12/10/2025 19:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1530 15300
CZECH,13/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,17370 360
WIELAND,14/10/2025 10:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,2106 18396
COPIAPO,15/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,108 14760
EVER FAST,15/10/2025 07:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,19800 180
BARTOLOMEU DIAS,16/10/2025 02:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
FERNÃO DE MAGALHÃES,17/10/2025 14:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,3600 3600
SEASPAN EMPIRE,18/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1620 15300
NYK DIANA,19/10/2025 19:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1530 15300
HYUNDAI HONGKONG,20/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 12600
NC BRISA (REB S/L),20/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,4500 6300
IRENES RESOLVE,23/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,4536 360
VICENTE PINZÓN,23/10/2025 02:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
