CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,CONTEINERES,Unnamed: 15_level_0
Navio Ship,Bandeira Flag,Com/Len Cal/Draft,Nav,Cheg/Arrival d/m/y,Carimbo Notice,Agência Office,Operaç Operat,Mercadoria Goods,Peso Weight,Viagem Voyage,DUV,P,Terminal,IMO,Unnamed: 15_level_1
COSCO SHIPPING BRAZIL,HONG KONG,336 11.5,Long,02/10/2025 07:00:00,,COSCO BRASIL S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,3600 9000,4217-0 2025,422402025,B,TECON,9945837,
ZIM BALTIMORE,LIBERIANA,259 12,Long,02/10/2025 07:00:00,,ZIM DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,4450-6 2025,445672025,B,TECON,9395953,
CMA CGM BUZIOS,MALTESA,336 10,Long,02/10/2025 12:00:00,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 4500,4487-7 2025,449912025,B,TECON,9938250,
SANTA INES,DINAMARQUESA,300 9,Long,03/10/2025 01:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,4438-6 2025,387572025,B,B.T.P. 1,9444845,
PEDRO ÁLVARES CABRAL,BRASILEIRA,228 9,Cabo,03/10/2025 14:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,3600 3600,4277-2 2025,404592025,B,EPORT 1/TECON 1,9603219,
MAERSK LOTA,DINAMARQUESA,300 9,Long,03/10/2025 15:49:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,4385-0 2025,381682025,B,TECON,9526954,
RDO FORTUNE,LIBERIANA,256 5,Long,04/10/2025,,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,16956 486,4361-3 2025,436742025,B,EPORT 1/TECON 1,9623673,
EVER FUTURE,SINGAPURENSE,334 13,Long,04/10/2025 01:00:00,,EVERGREEN SHIPPING AGENCY(BR) SA,EMB,CONTEINERES CHEIOS CONTEINERES CHEIOS,180,4308-5 2025,431402025,B,TECON,9850599,
MSC MAGNUM VII,LIBERIANA,300 13.5,Long,04/10/2025 01:00:00,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 1800,4527-9 2025,445622025,B,B.T.P. 1,9252541,
MSC VANCOUVER,LIBERIANA,300 13.5,Long,04/10/2025 01:00:00,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,18000 1800,4528-5 2025,451542025,B,B.T.P. 1,9285691,
ONE PARANA,HONG KONG,330 14.5,Long,04/10/2025 01:00:00,,OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1530 15300,3882-0 2025,390472025,B,B.T.P. 1,9937335,
JAZAN,LIBERIANA,306 5,Long,04/10/2025 10:00:00,,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1620 15300,4519-6 2025,451942025,B,EPORT 1/TECON 1,9349540,
CMA CGM PETRA,FRANCESA,200 10,Long,04/10/2025 12:00:00,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 4500,4499-5 2025,449982025,B,TECON,9977701,
HYUNDAI FORCE,ILHAS MARSHALL,340 8,Long,05/10/2025,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,4518-0 2025,451642025,B,EPORT 1/TECON 1,9347566,
SAN NICOLAS MAERSK,DINAMARQUESA,333 9,Long,05/10/2025 01:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,4407-3 2025,387662025,B,EPORT 1/TECON 1,9622203,
SAN RAPHAEL MAERSK,DINAMARQUESA,333 9,Long,05/10/2025 01:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,4437-0 2025,387522025,B,B.T.P. 1,9622253,
SEATTLE C,CIPRIOTA,260 10.7,Long,05/10/2025 07:00:00,,COSCO BRASIL S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,3600 9000,4219-2 2025,422442025,B,TECON,9360910,
MAERSK KARUN,PANAMENHA,255 9,Long,05/10/2025 08:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,4434-- 2025,372732025,B,B.T.P. 1,9624299,
COSTA RICA EXPRESS,ILHAS MARSHALL,270 5,Long,05/10/2025 10:00:00,,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,18666 126,4522-7 2025,451952025,B,EPORT 1/TECON 1,9641235,
MAERSK LAGUNA,DINAMARQUESA,300 9,Long,05/10/2025 10:18:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,4436-3 2025,375662025,B,B.T.P. 1,9526942,
MSC BIANCA,LIBERIANA,328 13.8,Long,05/10/2025 14:35:00,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,27000 1800,4446-9 2025,438852025,B,B.T.P. 1,9770749,
LOG-IN POLARIS,BRASILEIRA,186 9.1,Cabo,05/10/2025 18:00:00,,MSC MEDITERRANEAN SHIPPING DO BR,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200 7200,4530-0 2025,446142025,B,TECON,9852365,
MSC ADELE,LIBERIANA,335 11.3,Long,05/10/2025 19:00:00,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 27000,4297-3 2025,429232025,B,TECON,1016692,
MSC ROCHELLE,LIBERIANA,294 10.4,Long,05/10/2025 20:00:00,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 14400,4575-3 2025,455402025,B,B.T.P. 1,9141297,
LORI,LIBERIANA,228 9,Long,06/10/2025,,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12834 4266,4369-4 2025,436842025,B,TECON,9631125,
AS CAROLINA,PORTUGUESA,222 12,Long,06/10/2025 07:00:00,,ZIM DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,4455-8 2025,445892025,B,TECON,9314935,
LOG-IN DISCOVERY (REB S/L,BRASILEIRA,209 9.1,Cabo,06/10/2025 17:00:00,,MSC MEDITERRANEAN SHIPPING DO BR,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200 7200,4533-9 2025,446212025,B,TECON,9506394,
WIDE HOTEL,ILHAS MARSHALL,255 11,Long,06/10/2025 19:00:00,,OCEAN NETWORK EXPRESS (LATIN AMERICA) AGENCIA MARITIMA LTDA,EMB,CONTEINERES CHEIOS CONTEINERES CHEIOS,15300,4144-2 2025,415262025,B,EPORT 1/TECON 1,9694593,
LOG-IN JATOBÁ,BRASILEIRA,218 9.1,Cabo,07/10/2025 11:00:00,,MSC MEDITERRANEAN SHIPPING DO BR,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200 7200,4529-1 2025,446312025,B,TECON,9471898,
MSC LETIZIA,PORTUGUESA,300 9.6,Long,07/10/2025 11:00:00,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 18000,4534-5 2025,445742025,B,B.T.P. 1,9702065,
EVER FAME,PANAMENHA,334 13.5,Long,07/10/2025 13:00:00,,EVERGREEN SHIPPING AGENCY(BR) SA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,19800 180,4456-4 2025,445962025,B,TECON,9850800,
SAN ANTONIO MAERSK,DINAMARQUESA,333 9,Long,07/10/2025 20:01:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,4408-0 2025,387412025,B,EPORT 1/TECON 1,9622241,
MSC DOMITILLE,PORTUGUESA,300 10,Long,08/10/2025 01:00:00,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 12600,4532-2 2025,446082025,B,TECON,9720201,
MSC EDNA,LIBERIANA,335 11.3,Long,08/10/2025 06:00:00,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 27000,4584-2 2025,455032025,B,TECON,1016680,
MERCOSUL SANTOS,BRASILEIRA,211 10,Long,08/10/2025 12:00:00,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 4500,4578-2 2025,458142025,B,TECON,9356153,
MAERSK VENEZIA,HONG KONG,186 9,Long,08/10/2025 15:37:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,4435-7 2025,387292025,B,B.T.P. 1,9344681,
LOG-IN PANTANAL (REB),BRASILEIRA,183 9.1,Cabo,08/10/2025 17:00:00,,MSC MEDITERRANEAN SHIPPING DO BR,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,7200 7200,4531-6 2025,446392025,B,TECON,9351799,
MSC AMALFI,MALTESA,300 14.2,Long,08/10/2025 17:00:00,,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,18000 1800,4537-4 2025,451742025,B,B.T.P. 1,9605279,
IRENES WISDOM,ILHAS MARSHALL,186 9,Long,09/10/2025,,ROCHAMAR AGENCIA MARITIMA S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,4536 360,4462-4 2025,446412025,B,TECON,9953391,
MAERSK GANGES (REB),BRASILEIRA,255 9,Cabo,09/10/2025 02:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800,4273-7 2025,404822025,B,EPORT 1/TECON 1,9694581,
CARDIFF,LIBERIANA,271 10,Long,09/10/2025 12:00:00,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600,4556-9 2025,455902025,B,TECON,9629457,
COSCO SHIPPING BRAZIL,HONG KONG,336 11.7,Long,10/10/2025 07:00:00,,COSCO BRASIL S/A,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,9000 3600,4488-3 2025,422452025,B,TECON,9945837,
CMA CGM FORT ST LOUIS,CIPRIOTA,197 10,Long,10/10/2025 12:00:00,,UNIMAR AGENCIAMENTOS MARITIMOS LTDA,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 4500,4551-7 2025,455702025,B,TECON,9261889,
SEBASTIÃO CABOTO,BRASILEIRA,228 9,Cabo,10/10/2025 14:00:00,,LACHMANN AGENCIA MARITIMA LTDA,EMB,CONTEINERES CHEIOS CONTEINERES CHEIOS,3600,4279-5 2025,421772025,B,EPORT 1/TECON 1,9602875,
